ref_id,name,category,book,tabula,modern_location,recension,lon_ptolemy,lat_ptolemy,naming_observation,feature_id,sequence_in_feature,feature_closes_loop,river_feature_id,river_sequence_in_feature,island_feature_id,island_sequence_in_feature,island_feature_closes_loop,mountain_feature_id,mountain_sequence_in_feature
2.03.06.06,Abus-Mündung,river_mouth,Europe,EU01,Humber,Omega,21.0,56.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,58,1,,,,,,,
2.03.06.07,Metaris-Ästuar,coast,Europe,EU01,The Wash,Omega,20.5,55.6666666666667,matches estuary pattern (Ästuar),coastline_001_EU01,59,1,,,,,,,
2.03.06.08,Gariennus-Mündung,river_mouth,Europe,EU01,Yare-Mündung,Omega,21.0,55.3333333333333,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,60,1,,,,,,,
2.03.06.09,Landspitze,coast,Europe,EU01,,Omega,21.25,55.0833333333333,matches cape pattern (Spitze/Vorgebirge/Promont),coastline_001_EU01,61,1,,,,,,,
2.03.06.10,Sidumanis-Mündung,river_mouth,Europe,EU01,,Omega,20.1666666666667,55.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,62,1,,,,,,,
2.03.06.11,Tamesa-Ästuar,coast,Europe,EU01,Themse-Ästuar,Omega,20.5,54.5,matches estuary pattern (Ästuar),coastline_001_EU01,63,1,,,,,,,
2.03.07.03,Lucopibia,city,Europe,EU01,,Omega,19.0,60.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.07.04,Rerigonium,city,Europe,EU01,,Omega,20.1666666666667,60.6666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.08.02,Carbantorigum,city,Europe,EU01,,Omega,19.0,59.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.08.03,Uxellum (Uzellum),city,Europe,EU01,,Omega,18.5,59.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.08.04,Corda,city,Europe,EU01,,Omega,20.0,59.6666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.08.05,Trimontium,city,Europe,EU01,Newstead,Omega,19.0,59.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.09.02,Colania (Colanica),city,Europe,EU01,Camelon,Omega,20.5,59.1666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.09.03,Vindogara,city,Europe,EU01,,Omega,21.6666666666667,60.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.09.04,Coria,city,Europe,EU01,,Omega,21.5,59.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.09.05,Alauna,city,Europe,EU01,,Omega,22.75,59.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.09.06,Lindum,city,Europe,EU01,,Omega,20.0,59.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.09.07,Victoria,city,Europe,EU01,,Omega,23.5,59.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.10.03,Curia (Coria),city,Europe,EU01,,Omega,26.0,59.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.10.04,Alauna,city,Europe,EU01,,Xi,20.3333333333333,58.6666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.10.05,Bremenium,city,Europe,EU01,High Rochester,Omega,21.0,58.75,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.13.03,Banatia (Bannatia),city,Europe,EU01,,Omega,24.0,59.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
