book,map,section,position,name_phrase,lon_dms,lat_dms,lon_decimal,lat_decimal,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score
2,3,10,8,"Eboracum, Legio VI Victrix",20°00',57°20',20.0,57.3333,yes,2.03.17.01,"Eboracum, Legio VI Victrix",100.0
2,3,10,9,Camulodunum,18°00',57°45',18.0,57.75,yes,2.03.16.09,Rigodunum,72.8
2,3,10,10,Near which on the Opportunum bay are the Parisi and the town Petuaria,20°40',56°40',20.6667,56.6667,yes,2.03.17.05,Petuaria,100.0
2,3,11,1,"Below these are the Brigantes but some distance toward the west are the Ordovices, among whom are the towns: Mediolanum",16°45',56°40',16.75,56.6667,yes,2.03.18.03,Mediolanum,100.0
2,3,11,2,Brannogenium,16°45',56°15',16.75,56.25,yes,2.03.18.04,Brannogenium,100.0
2,3,11,3,"these toward the east are the Cornavi, among whom are the towns: Deva, Legio XX Victrix",17°30',56°45',17.5,56.75,yes,2.03.19.02,Deva und Legio XX Valeria Victrix,45.0
2,3,11,4,Viroconium,16°45',55°45',16.75,55.75,yes,2.03.19.03,Viroconium,100.0
2,3,11,5,"to these are the Coritani, among whom are the towns: Lindum",18°40',56°30',18.6667,56.5,yes,2.03.20.02,Lindum,72.5
2,3,11,6,Ratae,18°00',55°30',18.0,55.5,yes,2.03.20.03,Ratae,100.0
2,3,11,7,"are the Catuvellauni, among whom are the towns: Salinae",20°45',55°50',20.75,55.8333,no,2.03.06.07,Metaris-Ästuar,39.7
2,3,11,8,Urolanium,19°20',55°30',19.3333,55.5,yes,2.03.21.03,Verulamium,100.0
2,3,11,9,"to these are the Iceni, whose town is called Venta",20°30',55°20',20.5,55.3333,yes,2.03.21.05,Venta,100.0
2,3,11,10,Farther eastward and near the estuary of the Tamesa are the Trinovantes and the town Camulodunum,21°00',55°00',21.0,55.0,yes,2.03.22.03,Camulodunum,100.0
2,3,12,1,"Below the peoples we have mentioned, but more toward the west are the Demetae, whose towns are: Luentinum",15°45',55°10',15.75,55.1667,yes,2.03.23.02,Luentinum,100.0
2,3,12,2,Maridunum,15°30',54°40',15.5,54.6667,yes,2.03.23.03,Maridunum,100.0
2,3,12,3,More toward the east are the Silures whose town is Bullaeum,16°50',55°00',16.8333,55.0,yes,2.03.24.02,Bullaeum (Bulleum),88.2
2,3,12,4,"to these are the Dobuni, and their town Corinium",18°00',54°10',18.0,54.1667,yes,2.03.25.02,Corinium,100.0
2,3,12,5,the Atrebati and their town Caleva,19°00',54°15',19.0,54.25,yes,2.03.26.02,Calleva,100.0
2,3,12,6,"to these, but farther eastward, are the Canti among whom are the towns: Londinium",20°00',54°00',20.0,54.0,yes,2.03.27.02,Londinium*,100.0
2,3,12,7,Daruernum,21°00',54°00',21.0,54.0,yes,2.03.27.03,Durovernum,75.9
2,3,12,8,Rutupiae,21°45',54°00',21.75,54.0,yes,2.03.27.04,Rutupiae,100.0
2,3,13,1,Below the Atrebati and the Canti are the Regni and the town Noeomagus,19°45',53°05',19.75,53.0833,yes,2.03.28.04,Noviomagus,88.7
2,3,13,2,Below the Dobuni are the Belgae and the towns: Iscalis,16°00',53°40',16.0,53.6667,yes,2.03.28.07,Iscalis,69.4
2,3,13,3,Aquae calidae,17°20',53°40',17.3333,53.6667,yes,2.03.28.08,Aquae Calidae,100.0
2,3,13,4,Venta,18°40',53°00',18.6667,53.0,yes,2.03.28.09,Venta,81.7
2,3,13,5,Toward the west and south of these are the Durotriges whose town is Dunium,18°00',52°40',18.0,52.6667,yes,2.03.29.02,Dunium,98.8
2,3,13,6,"to these, but more to the west, are the Dumnoni, whose towns are: Voliba",14°45',52°00',14.75,52.0,yes,2.03.30.02,Voliba,87.8
2,3,13,7,Uxella,15°00',52°45',15.0,52.75,yes,2.03.30.03,Uxella (Uzela),100.0
2,3,13,8,Tamara,15°00',52°15',15.0,52.25,yes,2.03.30.04,Tamare,100.0
2,3,13,9,"Isca, where is located Legio II Augusta",17°30',52°45',17.5,52.75,yes,2.03.30.05,Isca,100.0
2,3,14,1,The islands which are near Albion island and the Orcades promontory are: Scetis island,32°40',60°45',32.6667,60.75,yes,2.03.31.03,Scitis,100.0
2,3,14,2,Dumna island,30°00',61°20',30.0,61.3333,yes,2.03.31.04,Dumna*,95.8
2,3,14,3,"Above these islands are the Orcades, about thirty in number, midpoint",30°00',61°40',30.0,61.6667,yes,2.03.31.05,Orkaden (30),100.0
2,3,14,4,Far above these is the island Thule. The part of this which extends much toward the west,29°00',63°00',29.0,63.0,yes,2.03.32.01,Thule W,100.0
2,3,14,5,that which is farthest eastward is,31°40',63°00',31.6667,63.0,yes,2.03.32.02,Thule O,100.0
2,3,14,6,that which is farthest northward is,30°20',63°15',30.3333,63.25,yes,2.03.32.03,Thule N,100.0
2,3,14,7,that which is farthest southward is,30°20',62°40',30.3333,62.6667,yes,2.03.32.04,Thule S,100.0
2,3,14,8,the middle,30°20',63°00',30.3333,63.0,yes,2.03.32.05,Thule Mitte*,100.0
2,3,14,9,Trinovantes region there are two islands: Toliapis,23°00',54°20',23.0,54.3333,yes,2.03.33.02,Tanatis,100.0
2,3,14,10,Counus island,24°00',54°30',24.0,54.5,yes,2.03.33.03,Counnus (Covennus),100.0
2,3,14,11,"Below Magnus Portus is the island Vectis, the middle of",19°20',52°20',19.3333,52.3333,yes,2.03.33.05,Vectis*,100.0
2,4,2,1,The eastern mouth of the river Ana,4°20',37°30',4.3333,37.5,yes,2.04.03.02,Anas-Mündung (östliche),100.0
2,4,2,2,Before the river turns towards the east,6°20',39°00',6.3333,39.0,yes,2.04.03.03,Anas (Biegung gegen Osten),100.0
2,4,2,3,Where the river touches the border of Lusitania,9°00',39°00',9.0,39.0,yes,2.04.03.04,"Anas (Grenzpunkt Baetica, Lusitania, Tarraconensis)",100.0
2,4,2,4,there along the border of Tarraconensis to where the Balearic sea ends,12°00',37°15',12.0,37.25,yes,2.04.03.07,Baetica (Ostende am Baliarischen Meer),100.0
2,4,2,5,The sources of the river,14°00',40°00',14.0,40.0,yes,2.04.03.08,Anas-Quellen,100.0
2,4,4,1,"mouth of the river Ana on the Outer sea, the Turdetani: Onoba Estuary",4°40',37°30',4.6667,37.5,yes,2.04.05.04,Onoba Ästuaria,100.0
2,4,4,2,Eastern mouth of Baetis river,5°20',37°00',5.3333,37.0,yes,2.04.05.06,Baetis-Mündung (östliche),100.0
2,4,4,3,Sources of the river,12°00',38°30',12.0,38.5,yes,2.04.05.07,Baetis-Quellen,100.0
2,4,4,4,Where the Asta joins it,6°00',36°45',6.0,36.75,yes,2.04.05.08,Ästuar bei Asta,100.0
2,4,5,1,"Of the Turduli, Menesthus harbour",6°00',36°20',6.0,36.3333,yes,2.04.05.10,Menestheus-Hafen,100.0
2,4,5,2,"which the Strait begins, with a temple of Hera",5°45',36°05',5.75,36.0833,yes,2.04.05.11,"Hera-Tempel, Kap am Beginn der Meerenge des Herakles",70.3
2,4,5,3,Mouth of the Baelon river,6°15',36°10',6.25,36.1667,yes,2.04.05.12,Baelo-Mündung,100.0
2,4,5,4,Baelum city,6°15',36°40',6.25,36.6667,yes,2.04.05.13,Baelo,100.0
2,4,6,1,"Of the Bastuli who are called Phoenicians, Menralia",6°30',36°30',6.5,36.5,yes,2.04.06.02,Mellaria,100.0
2,4,6,2,Transducta,6°40',36°20',6.6667,36.3333,yes,2.04.06.03,Iulia Traducta,100.0
2,4,6,3,Barbesola,7°15',36°10',7.25,36.1667,yes,2.04.06.04,Barbesula,100.0
2,4,6,4,Cartaia,7°15',36°10',7.25,36.1667,yes,2.04.06.04,Barbesula,100.0
2,4,6,5,Calpe mountain and pillar of the Inner sea,7°30',36°15',7.5,36.25,yes,2.04.06.06,"Calpe,Säule des Inneren Meeres",100.0
2,4,7,1,"In the Iberian sea, the mouth of the river Barbesola",7°40',36°20',7.6667,36.3333,yes,2.04.07.02,Barbesula-Mündung,93.3
2,4,7,2,Souel,8°00',36°55',8.0,36.9167,yes,2.04.07.03,Suel,64.4
2,4,7,3,Mouth of the river Salduba,8°30',37°00',8.5,37.0,yes,2.04.07.04,Salduba-Mündung,100.0
2,4,7,4,Malaca,8°50',37°30',8.8333,37.5,yes,2.04.07.05,Malaca,100.0
2,4,7,5,Maenoba,9°15',37°15',9.25,37.25,yes,2.04.07.06,Maenoba,100.0
2,4,7,6,Sex,9°45',37°15',9.75,37.25,yes,2.04.07.07,Sexi,66.1
2,4,7,7,Selambina,10°15',37°15',10.25,37.25,yes,2.04.07.08,Selambina,100.0
2,4,7,8,Exoche,10°50',37°05',10.8333,37.0833,yes,2.04.07.09,Landspitze,100.0
2,4,7,9,Abdara,10°45',37°30',10.75,37.5,yes,2.04.07.10,Abdara,87.8
2,4,7,10,Portus Magnus,11°20',37°05',11.3333,37.0833,yes,2.04.07.11,Portus Magnus,100.0
2,4,7,11,Promontory of Charidemos,11°30',37°20',11.5,37.3333,yes,2.04.07.12,Kap des Charidemus,54.8
2,4,8,1,"Charidemos promontory until the previously described end point, on which is Bareia city",11°45',37°10',11.75,37.1667,yes,2.04.08.03,Baria,100.0
2,4,9,1,"Menralia to Bareias city. Above this region in the interior and towards Tarraconensis, are the Turduli with the inland cities: Segida",9°10',38°50',9.1667,38.8333,yes,2.04.10.03,Segida Augurina,100.0
2,4,9,2,Ilurgis,9°30',38°40',9.5,38.6667,yes,2.04.10.04,Iliturgi,100.0
2,4,9,3,Vogia,9°00',38°30',9.0,38.5,yes,2.04.10.05,Vogia,100.0
2,4,9,4,Calpurniana,9°45',38°30',9.75,38.5,yes,2.04.10.06,Calpurniana,87.8
2,4,9,5,Caecila,9°15',38°10',9.25,38.1667,yes,2.04.10.07,Caecila,87.8
2,4,9,6,Biniana,10°00',38°15',10.0,38.25,yes,2.04.10.08,Biniana,100.0
2,4,9,7,Corduba (metropolis),9°20',38°05',9.3333,38.0833,yes,2.04.11.01,Corduba*,100.0
2,4,9,8,Ulia,9°30',38°00',9.5,38.0,yes,2.04.11.02,Ulia,100.0
2,4,9,9,Obulcum,10°10',38°00',10.1667,38.0,yes,2.04.11.03,Obulco,100.0
2,4,9,10,Arcilacis,8°45',37°45',8.75,37.75,yes,2.04.11.04,Arcilacis (Arcilalis),100.0
2,4,9,11,Detunda,8°40',37°55',8.6667,37.9167,yes,2.04.11.07,Salduba,71.2
2,4,9,12,Murgis,8°15',37°20',8.25,37.3333,yes,2.04.11.06,Murgi,83.7
2,4,9,13,Saldoba,8°45',37°15',8.75,37.25,yes,2.04.07.04,Salduba-Mündung,75.2
2,4,9,14,Tucci,8°00',37°10',8.0,37.1667,yes,2.04.11.08,Tucci,100.0
2,4,9,15,Salara or Sala,7°30',37°00',7.5,37.0,yes,2.04.11.09,Sala,100.0
